날짜,항공사,출발시간,출발지,도착시간,도착지,소요시간,가격,최저가 결제수단
2024.03.15 Fri,대한항공,14:00,NRT,16:50,ICN, 02:50,"297,800원",KB국민
2024.03.15 Fri,티웨이항공,18:50,NRT,21:50,ICN, 03:00,"298,800원",현대 M2/M3 Edition2
2024.03.15 Fri,에어프레미아,12:10,NRT,14:45,ICN, 02:35,"298,900원",KB국민
2024.03.15 Fri,아시아나항공,15:50,NRT,18:40,ICN, 02:50,"307,300원",현대 M2/M3 Edition2
2024.03.15 Fri,진에어,13:00,NRT,15:55,ICN, 02:55,"312,100원",KB국민
2024.03.15 Fri,진에어,19:10,NRT,22:00,ICN, 02:50,"312,100원",KB국민
2024.03.15 Fri,진에어,15:15,NRT,18:15,ICN, 03:00,"312,100원",KB국민
2024.03.15 Fri,티웨이항공,11:35,NRT,14:35,ICN, 03:00,"319,600원",KB국민
2024.03.15 Fri,에어부산,18:30,NRT,21:00,ICN, 02:30,"328,600원",KB국민
2024.03.15 Fri,이스타항공,11:50,NRT,14:30,ICN, 02:40,"336,000원",KB국민
2024.03.15 Fri,대한항공,20:35,NRT,23:20,ICN, 02:45,"348,600원",KB국민
2024.03.15 Fri,아시아나항공,19:20,NRT,22:10,ICN, 02:50,"351,300원",현대 M2/M3 Edition2
2024.03.15 Fri,티웨이항공,14:35,NRT,17:35,ICN, 03:00,"356,400원",KB국민
2024.03.15 Fri,대한항공,19:10,NRT,22:00,ICN, 02:50,"368,200원",KB국민
2024.03.15 Fri,아시아나항공,13:20,NRT,15:55,ICN, 02:35,"421,400원",현대 M2/M3 Edition2
2024.03.15 Fri,대한항공,09:15,NRT,12:00,ICN, 02:45,"491,000원",KB국민
2024.03.15 Fri,아시아나항공,09:00,NRT,11:40,ICN, 02:40,"496,600원",현대 M2/M3 Edition2
2024.03.15 Fri,일본항공,14:00,NRT,16:50,ICN, 02:50,"1,212,100원",KB국민
2024.03.15 Fri,일본항공,09:15,NRT,12:00,ICN, 02:45,"1,212,100원",KB국민
2024.03.15 Fri,일본항공,20:35,NRT,23:20,ICN, 02:45,"1,212,100원",KB국민
2024.03.15 Fri,일본항공,17:00,NRT,19:50,ICN, 02:50,"1,212,100원",KB국민
2024.03.15 Fri,ANA,15:50,NRT,18:40,ICN, 02:50,"1,255,100원",KB국민
2024.03.15 Fri,ANA,19:20,NRT,22:10,ICN, 02:50,"1,296,000원",KB국민
2024.03.15 Fri,ANA,09:00,NRT,11:40,ICN, 02:40,"1,296,000원",KB국민
2024.03.15 Fri,ANA,13:20,NRT,15:55,ICN, 02:35,"1,296,000원",KB국민
2024.03.16 Sat,에어서울,11:25,NRT,14:05,ICN, 02:40,"276,300원",KB국민
2024.03.16 Sat,에어서울,13:10,NRT,15:45,ICN, 02:35,"276,300원",KB국민
2024.03.16 Sat,이스타항공,11:35,NRT,14:15,ICN, 02:40,"286,900원",KB국민
2024.03.16 Sat,이스타항공,19:05,NRT,21:35,ICN, 02:30,"286,900원",KB국민
2024.03.16 Sat,이스타항공,11:50,NRT,14:30,ICN, 02:40,"286,900원",KB국민
2024.03.16 Sat,티웨이항공,11:35,NRT,14:35,ICN, 03:00,"296,700원",KB국민
2024.03.16 Sat,에티오피아항공,20:30,NRT,23:10,ICN, 02:40,"300,900원",KB국민
2024.03.16 Sat,에어프레미아,12:10,NRT,14:45,ICN, 02:35,"303,300원",KB국민
2024.03.16 Sat,대한항공,20:35,NRT,23:20,ICN, 02:45,"304,400원",KB국민
2024.03.16 Sat,대한항공,17:00,NRT,19:50,ICN, 02:50,"304,400원",KB국민
